,this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
115,116,Cool World,Ralph Bakshi,1992,101,"[""TITLE: Cool World"", ""TEXT PLACEHOLDER 116"", ""<P>"", ""Buckle up, this is going to be an unexpectedly rough watch."", ""<P>"", ""You saw most of this around the time it came out, or at least when it finally hit cable television after being in the theaters. It was one you always got confused with <I>Who Framed Roger Rabbit</I>, and aside from Bob Hoskins in that classic, you have to admit you may like this one slightly better. At least it lacks the now-putrid stench of Disney about it."", ""<P>"", ""However, your contemporary watch of this is going to be very distracted, with a few stops and starts. You will begin watching this at a bar and then get very sidetracked by your messy personal life. You'll give up and watch an entire other film in the meantime. (If you would like to simulate this, bookmark this page before turning to another random section and read the entry for that before returning here.) The next day you will wake up bright and early, attempt to work out, and then try to attend Flower Mart, but this will be marked by numerous tragic and stressful arguments. You will head home before noon to fetch a six pack of beer from your refrigerator, and you will quickly consume this during the course of the day just to make things bearable."", ""<P>"", ""You will run into similarly tipsy friends who announce they are having a cookout later in the day, which sounds awfully good to your empty stomach. You will give them a few beers from your bag and then purchase two more six packs in preparation for this. Unfortunately this gathering will be canceled as soon as they get home and decide falling asleep sounds like a better option, leaving you with a bag full of beer you purchased for the cookout."", ""<P>"", ""Some of your surplus beers you will give away to friends. Others you will sip at from a plastic red solo cup you obtained by trading a few pours of beer from a fresh can to a stranger. Eventually you will sit down at a random table and end up drinking four or five beers while restarting this film from the beginning. You'll watch most of this film before stumbling to your favorite bar in town to sip a Natty Boh and finish the film."", ""<P>"", ""Your friends will be horrified and amused by how hammered you are since you rarely even let yourself get tipsy around them. For the record you will do remarkably well considering exactly how much alcohol you have consumed--your tolerance is fairly heroic if you spread it out, but this isn't something you want to be particularly known for."", ""<P>"", ""Later in the evening you will be gravely offended by a rude woman who asks you a lot of nosy questions about your finances and then demands you pay for her dinner and drinks. You will baffle your friends by contemptuously paying for one of her drinks, which seems absurd considering how impolite she was being to you. They will not be able to wrap their head around the fact that for you in this context this is one of the biggest ways you can tell someone to go fuck themselves that is possible short of outright punching them in the face."", ""<P>"", ""As for the film, it's a blurry haze but you still prefer Bakshi being skeezy to a gaudy corporate parade of intellectual property. Sleep it off, tomorrow is another day.""]",Time to choose something different:,"That was a nice interlude, but I guess we can go back to the world of scheming yuppie scum!","Cartoon Kim Basinger is pretty hot, but she's got nothing on flesh-and-blood Pam Grier!",Too bad Bruce Chatwin never made it to the Cool World in all his nomadic wanderings...,141,159,96,https://en.wikipedia.org/wiki/Cool_World,https://www.imdb.com/title/tt0104009/,https://tvtropes.org/pmwiki/pmwiki.php/Film/CoolWorld
116,117,Interstellar,Christopher Nolan,2014,169,"[""TITLE: Interstellar"", ""TEXT PLACEHOLDER 117"", ""<P>"", ""Finally you are going to watch <I>Interstellar</I>, the film your friends have been telling you that you need to watch because of the emotional impact it had on them. They assure you that you will like it, particularly because of your interest in linguistics."", ""<P>"", ""One of your friends loves the soundtrack of this film so much that it nearly spoiled one of his intimate encounters when a song from it came on the radio and made him overly emotional, much to the horror of his date, as he tipsily confessed to you one night."", ""<P>"", ""Your friend vaguely explains the plot to you without trying to spoil any of the major details. Apparently there are some sad-astronaut moments involving being away from their children. You're not usually big on blockbuster sadspace films, so you cautiously check in with another friend who has seen the film. That friend gushes about how much he enjoys the film too, and gives you another vague, spoiler-free discussion of the plot--though you are pretty sure you can guess the spoilery twist, which they both insist is very mind-blowing."", ""<P>"", ""You go into this with cautiously high expectations and...it's okay, you guess. You do not find yourself overwhelmed or emotional upon hearing the soundtrack. The twists are more strange than unexpected. You find the scene with the gigantic tsunami wave on the water planet pretty horrifying, as well as the nerdy consequences of them dithering about what to do next while time is quickly and tragically wasting. It's not a bad sci-fi film but your friends' arcane descriptions of it didn't seem to match the expectations that they created."", ""<P>"", ""You go back to your friends after watching it and tell them that you watched <I>Interstellar</I>. \""Oh, good for you,\"" they mildly enthuse in your separate conversations. You tell them you liked the scene with the big wave. \""Yeah, I kinda remember that part I guess,\"" they both claim. Their enthusiasm for this film has waned considerably since they tried to talk you into adding it to your watchlist weeks ago. You chalk it up to some combination of alcohol, flakiness, and waxing and waning interests over time--much like the massive tides of the water planet! You feel like a genius for making this tidal connection."", ""<P>"", ""A few weeks later it dawns on you that both of your friends were telling you to watch <I>Arrival</I>, which is an entirely different blockbuster sci-fi film. Your wires got crossed and you are an idiot who is bad at pop culture.""]",Time to choose something different:,Just goes to show that it's always best to consult your concierge about travel times when setting an itinerary!,A bit too epic for me. Got anything with smaller stakes?,"Nicely apocalyptic, but I prefer my apocalypses with a side of radioactive pteranodons. What's the closest thing you've got for me?",190,103,32,https://en.wikipedia.org/wiki/Interstellar_(film),https://www.imdb.com/title/tt0816692/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Interstellar
117,118,Hotel Rwanda,Terry George,2004,121,"[""TITLE: Hotel Rwanda"", ""TEXT PLACEHOLDER 118"", ""<P>"", ""This is another film you missed when it initially came out and you never quite got around to crossing it off your list. You correctly guessed that it sounded like a depressing watch that would spoil any good mood you were currently in. Now that the days of good moods are mostly over, it won't hurt much to sneak in some depressing shit you missed out on like this. It's about the Rwandan genocide."", ""<P>"", ""The characters in this spend a lot of time being harassed by groups of men using machetes as an ethnic cleansing tool. You had a machete when you were a kid, a dented antique that your uncle brought back from Korea as part of his Army service. It was relatively dull, but still hazardous to children who were dumb enough to treat it as a toy and climb trees and actually hit things with it as though it were a sword. Needless to say it was one of your favorite toys. You used to take it out in the yard with a cheap bag of potatoes. The potatoes would be the bad guys and you would kill them with your machete."", ""<P>"", ""You also had a rope, and sometimes you would play sheriff and threaten the potatoes with the machete before tying the rope into a noose, attaching the noose to a tree, and executing the potatoes as though they were outlaws. It must be pointed out that there was no racial or ethnic aspect to these potato executions. You treated all potatoes as equals, whether they were red, russett, or white potatoes. All faced a harsh but fair justice at your vigilante hands."", ""<P>"", ""When you had your late night radio show, you would frequently end up going down rabbit holes where you would play unusual music from odd sources. Some of the albums you would play music from had innocent sounding music with macabre origins--songs written by Charles Manson or the cult that released sarin gas on the Tokyo subway or songs from the Rwandan genocide. These songs all made you suspicious of the actual content of the songs played on the world music shows for the happy progressives of Madison who loved the worldiness of world music, while having zero understanding of the lyrics. Listening to these shows without knowing what the lyrics meant was always a bit disturbing to you. For all you knew, you were bopping your head to the \""Happy Female Circumcision Song\"" or something similarly vile."", ""<P>"", ""You recall playing one song in particular called \""I Hate Hutus\"", which was a hit song in Rwanda during the Rwandan genocide. The song sounded like a regular African pop song, but the lyrics were encouraging Hutus to rise up and kill the Tutsi \""cockroach\"" colonizer-collaborating Tutsis who were ruining their country. You would always play songs like these without explanation before informing your listeners of what they had just been enjoying. One of the horrors of this film is the recurring voice on the radio of one of the announcers playing such music and exhorting his listeners to carry out this genocide."", ""<P>"", ""In retrospect, you feel a bit horrified that you may have been a bit too flippant about playing these songs and you can only hope that none of your night owl listeners had to listen to the track firsthand when it was popular on the radio in their homeland.""]",Time to choose something different:,Murdering people with swords or machetes is kind of an odd thing to do in our modern world...,"Anyone who runs a hotel can't be all bad, I guess...",Are there deserts in Rwanda? My geography is pretty bad...,64,237,21,https://en.wikipedia.org/wiki/Hotel_Rwanda,https://www.imdb.com/title/tt0395169/,https://tvtropes.org/pmwiki/pmwiki.php/Film/HotelRwanda
118,119,Everything Everywhere All At Once,Daniel Scheinert and Daniel Kwan,2022,139,"[""TITLE: Everything Everywhere All At Once"", ""TEXT PLACEHOLDER 119"", ""<P>"", ""This is a very quirky film and you're not sure how to feel about it. The first half hour seems like a pretty straightforward indie film about the immigrant experience through the seldom-seen lens of a frumpy middle-aged Asian woman. The film utterly nails that section of the film. Then the wheels come off and it's a wild, wild ride. It's weird fun in a way that makes it seem like two separate movies, and it's maybe a bit too much for you to fully enjoy the full sensory onslaught of it all."", ""<P>"", ""This is a good movie for when you're in the mood to watch a slow burn indie film about the Asian-American experience but you also need some loud, vulgar, insane kung-fu stuff thrown in."", ""<P>"", ""Jamie Lee Curtis plays Carol Burnett playing a tax accountant auditor who can do martial arts and sometimes has erotic sausage fingers."", ""<P>"", ""The film embraces the absurd and if you're in the right mood it will hit you just right and be the best thing you've ever seen. If you are in the wrong mood then you will be enormously frustrated one way or another for great stretches of the film."", ""<P>"", ""There is a literal Everything bagel at the center of this film. This will make you feel sad and nostalgic and hungry. You haven't had a <I>great</I> real everything bagel with lox spread from New York since before the pandemic, and you haven't even had a decent everything bagel since before your wife passed away. During the pandemic she would sometimes mask up and get breakfast at the Russian deli around the corner from your apartment for you. You have not had the heart to do this since she left this world.""]",Time to choose something different:,"As the name suggests, that was pretty loud and chaotic. Bob Ross is a bit more my speed...",What have we learned? Always be honest with your financial paperwork. White collar crime can get you into trouble!,Knowing martial arts is good for young ladies dating strangers. You never know when you may need to defend yourself!,179,228,222,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,https://www.imdb.com/title/tt6710474/,https://tvtropes.org/pmwiki/pmwiki.php/Film/EverythingEverywhereAllAtOnce
119,120,Jodorowsky's Dune,Frank Pavich,2013,90,"[""TITLE: Jodorowsky's Dune"", ""TEXT PLACEHOLDER 120"", ""<P>"", ""This is an interesting documentary about the absolutely bonkers plans that Jodorowsky (of <I>The Holy Mountain</I> fame) had for making a film based on Frank Herbert's <I>Dune</I>. You were lucky enough to see the David Lynch version in the theater when you were a kid, though to say that this went way over your head was an understatement. Your uncle, who was a bit of a sci-fi nerd, dragged you and your cousin to it, in hopes it would be the next <I>Star Wars</I>. It was not. You were massively confused, and the sheet of paper with a Dune glossary they handed out to all the patrons beforehand did little to shed light on what the fuck was going on. You just remember a lot of grotesque imagery, which you would later revel in when returning to this as a teenager."", ""<P>"", ""You generally have a very positive view of Jodorowsky. One of the funniest films you have ever seen is Jodorowsky-adjacent, and you and your belated wife were able to experience it live in Milwaukee. It was an <I>Everything Is Terrible</I> production, a clip-show full of horrifying found footage involving dogs with the title <I>DoggieWoggiez! PoochieWoochiez!</I>. The EIT bunch lovingly edited together this footage roughly in the form of a remake of Jodorowsky's <I>The Holy Mountain</I>. In particular, the middle section is devoted to dog footage in the theme of the seven other planets in the movie (e.g. weapons, art, toys, war, et cetera). It is one of the best remakes of a film you have ever seen, and you endlessly recommend it to anyone who will listen and might have the vaguest idea what the fuck you are talking about."", ""<P>"", ""You also happen to be a huge fan of Jodorowsky's <I>Metabarons</I> comics, which were heavily influenced by <I>Dune</I>, and a lot of the DNA that formed these comics is on display in this documentary."", ""<P>"", ""The documentary itself is, well, just a pretty-good documentary. But there is enough here that indulges your perverse interests to keep you tuned in and attentive.""]",Time to choose something different:,More sand please!,"Jodorowsky could probably do a pretty good job telling something a little more focused than Dune, like the adventures of Baron Münchhausen!","On the other hand, I really do NOT want to see Jodorowsky adapting anything by Elmore Leonard!",87,43,159,https://en.wikipedia.org/wiki/Jodorowsky%27s_Dune,https://www.imdb.com/title/tt1935156/,https://tvtropes.org/pmwiki/pmwiki.php/Film/JodorowskysDune
120,121,Plague Dogs,Martin Rosen,1982,103,"[""TITLE: Plague Dogs"", ""TEXT PLACEHOLDER 121"", ""<P>"", ""This animated romp is a delight for the whole family, as long as your family loves seeing terrible things happen to cartoon dogs."", ""<P>"", ""You're going to wonder if the cartoon dogs die in the end, assuming that they probably do. In a surprising twist, it is not made explicitly clear that the dogs are doomed at the end of the film, so you'll just have to use your imagination and base your expectations of what happens/happened at the end of the film based on the overarching tone of the film, which is mostly about terrible things happening to animals."", ""<P>"", ""The first few minutes of this film is a gorgeous animated sequence that turns out to be a lab animal dog, one of the two main characters, being deliberately drowned in a tank of water before being pulled out and resuscitated. That dog is droopy and sad and cynical. The other dog, voiced by John Hurt, is much more upbeat and has a horrifying backstory about a time in which he had a loving owner before things go depressingly wrong. He also has a terrible head wound from his brain being cut open and experimented on."", ""<P>"", ""When you were in gradeschool you had a cat named Shadow, short for Shadowfax. Unlike your other cat, he was allowed to roam outdoors. He would jump up and hang from the handle and \""knock\"" on the door when he wanted to be let in. He was a beautiful solid grey cat and he was very loving and affectionate, a very gentle soul. One day he went missing and didn't come back for a few weeks. Once he returned, the top of his head was all a scabbed open wound that had just started to heal, a soupy mess of scab and pus. This finally healed over into a hairless patch on top of his skull. Afterwards he had frequent seizures, in which he would spin around on the floor and \""breakdance\"", often losing bladder control and turning into a cat-sprinkler. It was dangerous to have him on his lap when he would start one of those seizures, since he would put his claws out in a panic and try not to fall."", ""<P>"", ""Eventually the seizures got so bad that you could no longer have him on your lap. His condition deteriorated and he eventually had great trouble remembering what he was supposed to do in the litterbox. He would dutifully shit near the litterbox, but with a low success rate at actually making it all the way inside. After his head injury, he didn't like to go out as much, but sometimes he would insist on short trips outside to do his business in the wild. One day he went on another trip outside and never returned. The end."", ""<P>"", ""This film with its bandaged-head scarred and brain-damaged dog reminds you of Shadowfax."", ""<P>"", ""You remind yourself to maliciously suggest watching this film to as many people as you can so that you are not alone with your miserable memories.""]",Time to choose something different:,Those poor pooches were facing a pretty hopeless situation. Kinda reminds me of the whole Kobayashi Maru thing from a certain sci-fi series from the 1960s...,I bet a clever advertiser could figure out some brilliant way to use experimental test animals to sell acne medicine,It's a rough world for a dog. Having a good human companion is almost as important as it is for a boy to have a good father figure...,53,20,230,https://en.wikipedia.org/wiki/The_Plague_Dogs_(film),https://www.imdb.com/title/tt0084509/,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThePlagueDogs
121,122,True Grit,Ethan Coen and Joel Coen,2010,110,"[""TITLE: True Grit"", ""TEXT PLACEHOLDER 122"", ""<P>"", ""This is a Coen Brothers remake of the John Wayne classic with the same name about a young lady out to avenge her father's murder who hires a drunken one-eyed tough-as-nails lawman to help her track down the killer. It's actually a fun movie. You watch a great deal of this on your phone while walking to and from the Farmer's Market on a Sunday morning."", ""<P>"", ""The film reminds you of your stepfather, an eccentric one-legged man who had a John Wayne obsession. His father was a bit of a vagabond and was never around much before he completely abandoned the family, so he always saw John Wayne as a sort of surrogate father. Your stepfather wasn't part of your life until you were late in your teens, and he only married your mother and moved into your house as you were moving away to graduate school."", ""<P>"", ""Your stepfather lost his leg in a misadventure when he was a teenager. He frequently made up stories about exactly how he lost his leg, but the real story was that he was trying to jump onto a freight train at around age 16 and misjudged and the train took off his leg. This never stopped him from working an insane variety of jobs. He worked on a chicken farm. He topped trees. At one point he got into a job training program for people with disabilities and ended up going to culinary school, which landed him a job as a chef in New Orleans."", ""<P>"", ""At another point he ended up managing a failing bar in Florida. He turned around the fortunes of this bar by taking the advice of one of his regulars and turning it into one of the first openly gay bars in Florida. He did this after getting assurances from the local police and shore patrol that they would approve of and cooperate with this change and turn a blind eye to any technical illegalities. They were more than happy to have much of the messiness confined to one place, and he made sure they ran a relatively tight ship."", ""<P>"", ""Your stepfather went through multiple wooden legs in the time you knew him, each time graduating to a fancier prosthesis. His older legs lived in your mother's shed, next to his prized velvet paintings of John Wayne. One velvet painting depicted John Wayne as Rooster Cogburn. You are a little sad that this never ended up on your wall.""]",Time to choose something different:,One confident young woman bossing two men with very different personalities around is an interesting dynamic...,"Meh, needs more aliens.",Vengeance can be a pretty powerful motivator!,149,65,158,https://en.wikipedia.org/wiki/True_Grit_(2010_film),https://www.imdb.com/title/tt1403865/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TrueGrit
122,123,The Wiz,Sidney Lumet,1978,136,"[""TITLE: The Wiz"", ""TEXT PLACEHOLDER 123"", ""<P>"", ""You know well what you're getting into here. This is a black version of <I>The Wizard of Oz</I> with a ridiculously star-studded cast that includes Diana Ross, Michael Jackson, Richard Pryor, Nipsey Russell, Lena Horne, Mabel King from <I>What's Happening!!</I>, et cetera. You better have goddamn seen this movie if you ever plan to have any black friends in your life of a certain age who don't think you're some kind of racist or uncultured idiot. This one is basic cultural literacy."", ""<P>"", ""Luckily you have already goddamn seen this, and you have some street cred to boot. Most of your LGBTQ-adjacent theater friends from high school ended up being in a stage production of this musical at your school. It was a good production aside from the absurdity of having an all-white cast. To their credit, they were greatly enthusiastic about the production, and the whiteness of the cast was more about the demographics of the school than any kind of deliberate exclusion."", ""<P>"", ""Okay, maybe don't use that fact as street cred. But you have some familiarity with the songs in this and can recite some of the laugh lines. And the Wicked Witch of the West for you will always be your friend Sara superimposed over Mabel King."", ""<P>"", ""Watch this film, get nostalgic for simpler times, and then ease on down the road.""]",Time to choose something different:,"We're off to meet the wizard, the wonderful wizard of the Kremlin!",I wonder what the rehearsals looked like when The Wiz was still in development before it hit the stage...,"It's good to be The Wiz, but everybody's gunning for you, especially when there's a poppy epidemic...",104,178,128,https://en.wikipedia.org/wiki/The_Wiz_(film),https://www.imdb.com/title/tt0078504/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheWiz
123,124,Before the Devil Knows You're Dead,Sidney Lumet,2007,117,"[""TITLE: Before the Devil Knows You're Dead"", ""TEXT PLACEHOLDER 124"", ""<P>"", ""This film has a long title that evokes one of those things that people say to sound Irish. \""May you be in heaven half an hour before the devil knows you're dead.\"" It is a cool saying if it's not too heavily Irish-glossed."", ""<P>"", ""This has Philip Seymour Hoffman and Etan Hawke in it, whose characters are so spineless and repulsive that it turns this into quite an enjoyable watch. Add in Marisa Tomei and Albert Finney and you know you're in for an actor's clinic. Some films have characters that are so pathetic and unlikeable that you stop caring or just get depressed and discouraged. These characters are so repulsively flawed that they seem divinely inspired. They remind you so much of people you have known and had in your life that you can't look away as their pathetic self-inflicted drama spins to a sad conclusion. They are the kind of hapless fuckheads that are so self-centered and oblivious and self-hating that they are unable to empathize at all with anyone they hurt. It is the most realistic depiction of fuckhead ever set to film. These idiots may as well have been ripped from your own past and had their flesh and blood mashed into the celluloid. You don't want to watch this more than once, but you're glad you did just to know that someone else has probably had to deal with the same kinds of spineless soulless jerks who have plagued you in your life.""]",Time to choose something different:,Drug debts can sure get you in a mess if you're not careful!,"This movie was good, but decidedly lacking i horny, squabbling nuns!","If you're going to do crimes, it's best to keep things within the family!",131,137,6,https://en.wikipedia.org/wiki/Before_the_Devil_Knows_You%27re_Dead,https://www.imdb.com/title/tt0292963/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BeforeTheDevilKnowsYoureDead
124,125,To Live and Die in LA,William Friedkin,1985,116,"[""TITLE: To Live and Die in LA"", ""TEXT PLACEHOLDER 125"", ""<P>"", ""You've seen this, of course, but you don't remember seeing it. You were too young for Willem Dafoe to make a lasting <I>conscious</I> impression but old enough for him to make a lasting impression as a creepy villain. But the real head-trip here is seeing William Petersen as a sort of scummy bad-boy cop. You are sad that you didn't have this film in your recent memory when you saw your first episode of <I>CSI</I>, which would have greatly colored your enjoyment of that show. John Turturro being a dirtbag in this is also a lot of fun. Even Dean Stockwell makes an appearance. Even fucking Robert Downey Sr. makes an appearance. And Gary Cole!"", ""<P>"", ""You never fully got into this film when you were a kid because it was set in Los Angeles, and you have always had a slight revulsion for that city and southern California in general. Somehow all your travels have never brought you to southern California. You've never splashed around in the Pacific ocean. This used to be a point of pride, but now it's a mild embarrassment--but not one you feel like correcting. You generally haven't enjoyed your misadventures west of the Mississippi River."", ""<P>"", ""If you thought too hard about it, you would find it ironic that several of your favorite punk bands when you were a teenager were based in California or Texas and rather loud and proud about the fact. Black Flag. Fear. The Butthole Surfers. The Dicks. Et cetera. But the dominant shallow car-based culture drowned out the bits of counterculture you loved, so you always avoided actually going there. <I>Tant pis.</I>""]",Time to choose something different:,"Los Angeles seems like a fast-paced, violent place. Florida is more my speed!","Living on the edge in Los Angeles can be stressful, but is it really worse than middle school?","Would you rather burn to death or go to prison? Well, what if it was a really horny prison?",108,129,41,https://en.wikipedia.org/wiki/To_Live_and_Die_in_L.A._(film),https://www.imdb.com/title/tt0090180/,https://tvtropes.org/pmwiki/pmwiki.php/Film/ToLiveAndDieInLA
125,126,Bad Lieutenant,Abel Ferrara,1992,96,"[""TITLE: Bad Lieutenant"", ""TEXT PLACEHOLDER 126"", ""<P>"", ""Harvey Keitel plays a corrupt druggie cop half-ass trying to solve a crime involving the sexual assault of a nun. This is one of the best and possibly most accurate sports gambling films of the last few decades. Pair this with any baseball film if you must. Perk your ears up every time the plot turns to baseball--it's the best part of the film."", ""<P>"", ""Harvey Keitel does a lot of whining in this one. A <I>lot</I> of whining. It is impressively pathetic and unhinged. Your mother always taught you not to whine. \""If you're going to cry, cry. But don't whine.\"" Whining was a fast ticket to her bad side. A crying child <I>might</I> be worth comforting, but a whining child is being deliberately annoying. She knew that whining tears were false tears, and she would always ominously offer to give you a <I>reason</I> to cry if you persisted. You learned to respect this since it was obvious she could see through what you were doing. Not once did she threaten this when you were honestly crying for any reason. Harvey Keitel's numerous mini-tantrums accompanied by self-pitying whining sessions are incredible. It is a man-child portrayal truly worthy of the big screen."", ""<P>"", ""You're also going to get to see Harvey being an enormous creep and make two women he pulls over watch while he jerks off. They really are not kidding about the \""bad\"" label on \""bad lieutenant\"". His character is thoroughly repulsive in a delightful way. You can't look away. This isn't the sort of cool bad-boy bad guy anti-hero that you're used to seeing in films. Still, you'll probably be at least a little sad when the film spirals to its inevitably pathetic ending."", ""<P>"", ""Enjoy!""]",Time to choose something different:,"Some people handle stress very, very poorly!",I bet women can handle stress a bit better than...that! ,"Uh, let's check back in on the criminals. They gotta be better behaved than the cops!",37,143,155,https://en.wikipedia.org/wiki/Bad_Lieutenant,https://www.imdb.com/title/tt0103759/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BadLieutenant
126,127,King of New York,Abel Ferrara,1990,109,"[""TITLE: King of New York"", ""TEXT PLACEHOLDER 127"", ""<P>"", ""You've seen this a few times in your youth. In your childhood, the weekly <I>TV Guide</I> had a section at the beginning that listed the ratings of every film that was shown on cable TV along with the reason for that rating. This was so that children could cross-reference cable movies to see if they had any good stuff in them. You learned quickly that if a film was rated PG-13 or R because of \""adult themes\"", it was usually some boring shit like abortion or adultery. Movies with \""violence\"" or \""graphic violence\"" were bound to be fum if that was what you were in the mood for. Anything with \""nudity\"" was usually boobs, and the rather rare \""graphic nudity\"" (or however it was phrased) indicated either extended boobs or, best of all, full frontal female nudity. (Full frontal male nudity was pretty rare in those days.) \""Brief nudity\"" was a bit chancy. Usually it meant butts, and even worse it often meant men's butts."", ""<P>"", ""<I>King of New York</I> was pretty much like hitting a royal flush in all these categories, the kind of film that was appointment viewing back when internet access was either non-existent or dial-up, and spotting any kind of naughty content meant UUDecoding a relatively large file with a long download time. Although, upon rewatch, it seems pretty tame these days compared to the way <I>TV Guide</I> made it sound."", ""<P>"", ""This was your first exposure to Christopher Walken, and essentially your first exposure to antiheroes in general. Once you got past the nudity, you were pretty confused about the whole nature of whether he was supposed to be a good guy or a bad guy and if you were supposed to be rooting for him."", ""<P>"", ""As with many things in life, you learned that on the whole morality itself is pretty grey. The world is cold and uncaring, and sometimes the only way to survive is to throw your lot in with whoever gives you the best chance. Bad people are always bad people, and even supposedly good people will consider you fair game to sharpen their claws on if they can talk themselves into believing you to be a bad guy, which is quite easy if you don't look and act like them. It's good to have a code, but abandon the idea of putting any particular person in the good-guy bad-guy category. For many people, they can talk themselves into thinking that anyone who seems defenseless is a potential target. Act accordingly.""]",Time to choose something different:,The best thing about being King of New York is not having to pay rent!,"Frank may have been a drug kingpin, but at least he wasn't a slimy backstabbing yuppie!",I'd rather get laid in Hiroshima than rule in New York!,4,141,166,https://en.wikipedia.org/wiki/King_of_New_York,https://www.imdb.com/title/tt0099939/,https://tvtropes.org/pmwiki/pmwiki.php/Film/KingOfNewYork
127,128,New Jack City,Mario Van Peebles,1991,100,"[""TITLE: New Jack City"", ""TEXT PLACEHOLDER 128"", ""<P>"", ""This is one of several 1990s gangsta-with-an-a films that seemed interchangeable at the time. They're all good and bad and cheesy in their own ways. You'll see most of these at some point in a chair at a barbershop, but never a full one. Your haircuts aren't that complicated."", ""<P>"", ""This is the one with Ice-T in it, not to be confused with Ice Cube. This one lets you know how it would feel if you recognized Sam Waterston on <I>Law & Order</I> from <I>The Killing Fields</I> first, or William Petersen on <I>CSI</I> from <I>To Live and Die in LA</I> first. Although, to be fair, Ice-T does play a cop in this one, though the same is true of William Petersen... In any case, at least you recognize Ice-T from his rap career first, so the point still holds."", ""<P>"", ""Like Karl Marx, you only drink herbal tea these days. (Marx only drank herbal tea as well, since the Marxist belief is that proper tea is theft.) You usually drink your tea hot in the mornings in all seasons. You have never been much of a coffee drinker, and you gave up caffeine a few years ago in hopes of reining in some of your sleep disturbances and more unpleasant dreams. If you go to sleep with no alcohol at all you tend to have terrible nightmares, and caffeine tends to make them more frightening and more frequent. You enjoy iced tea, of course, but the southern version is ghastly (though a bit of a guilty pleasure), and too much sugar can be as unsettling to your brain and stomach as too much caffeine. Best to play it safe. It's already a delicate balancing act indulging in alcohol without overindulging or underindulging. But there's absolutely nothing wrong with a morning tea, usually mint or the occasional rooibos if you are really hungover for some reason.""]",Time to choose something different:,"I prefer my gangstas many shades whiter and with thick Boston accents, thank you very much!",There's nothing gangsta about stabbing some poor weird feral kid.,All this toxic masculinity! Couldn't they just have a beauty contest instead?,192,15,83,https://en.wikipedia.org/wiki/New_Jack_City,https://www.imdb.com/title/tt0102526/,https://tvtropes.org/pmwiki/pmwiki.php/Film/NewJackCity
128,129,Welcome to the Dollhouse,Todd Solondz,1995,87,"[""TITLE: Welcome to the Dollhouse"", ""TEXT PLACEHOLDER 129"", ""<P>"", ""It is hardly surprising that you have an enormous crush on Heather Matarazzo. Of course you do."", ""<P>"", ""It is hardly surprising that most of the women you have dated were basically Dawn Weiner when they were in middle school. Of course they were."", ""<P>"", ""It is hardly surprising that back before you met your belated Dawn-Weiner-in-middle-school wife, you ended up watching this film with multiple other women who were basically Dawn Weiner when they were in middle school. This resulted in a lot of trauma and shed tears."", ""<P>"", ""Until recently, this was one of the few movies you owned on VHS. This was not intentional. The bad movie night you attend once a month had a \""Santa\"" come in to distribute VHS tapes to the crowd to all the good/naughty boys and girls who showed up to watch whatever terrible movie was on tap that month. This film was hurled at your head by a foul-mouthed evil Santa. You caught it and took it home as a relic despite having nothing to play it on."", ""<P>"", ""You are watching this film because you traded it away to someone who hadn't seen it and didn't know what it was but happened to have a VHS player with nothing to watch on it. This was not a Gen-X person, and it had been a while since you had seen the film. Not knowing the person very well, you decided to do due diligence and give the film another watch so you could pass along the proper content warnings your generation once scoffed at."", ""<P>"", ""It's still a pretty rough watch for a film where the worst that happens is some horrific bullying."", ""<P>"", ""In what passes for a happy ending to your real life story, the person you passed it onto seemed to enjoy it and wasn't completely horrifically traumatized by it.""]",Time to choose something different:,Dawn Weiner would probably have been more popular if she could just learn to shut up and be pretty...,Poor Dawn. At least she didn't have any creeps stalking and mimicking her...,Hooking up with other outsider weirdos probably would have been good for her. Plus I bet she'd be good at splicing film with those long fingers.,196,18,29,https://en.wikipedia.org/wiki/Welcome_to_the_Dollhouse,https://www.imdb.com/title/tt0114906/,https://tvtropes.org/pmwiki/pmwiki.php/Film/WelcomeToTheDollhouse
