this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
27,Le Samourai,Jean-Pierre Melville,1967,101,"[""TITLE: Le Samourai"", ""TEXT PLACEHOLDER 027""]",Time to choose something different:,"Whether it's Bushido or the Bible, a man's gotta have a code!","The samurai may be all gone, but Western Civilization's not looking so hot itself.",Enough with the samurai cop stuff. Time for a good chick-flick!,94,213,154,https://en.wikipedia.org/wiki/Le_Samoura%C3%AF,https://www.imdb.com/title/tt0062229/,https://tvtropes.org/pmwiki/pmwiki.php/Film/LeSamourai
28,Kamikaze 1989,Wolf Gremm,1982,106,"[""TITLE: Kamikaze 1989"", ""TEXT PLACEHOLDER 028""]",Time to choose something different:,Alcoholic cops are almost as bad as alcoholic pilots!,Just the right level of lurid...but could we ramp up the sincerity?,"This is fine, but needs more madrigals!",67,138,103,https://en.wikipedia.org/wiki/Kamikaze_1989,https://www.imdb.com/title/tt0084191/,NONE
29,Cecil B. Demented,John Waters,2000,87,"[""TITLE: Cecil B. Demented"", ""TEXT PLACEHOLDER 029""]",Time to choose something different:,It's fun getting a look at all the drama behind the scenes when films are being made!,Good to see talented people with ambition. Sad to think how many just hang out getting drunk around parking lots...,How about something with a few more crimes but less of the filmmaking...,152,218,127,https://en.wikipedia.org/wiki/Cecil_B._Demented,https://www.imdb.com/title/tt0173716/,https://tvtropes.org/pmwiki/pmwiki.php/Film/CecilBDemented
30,Ieri Oggi Domani,Vittorio De Sica,1963,119,"[""TITLE: Ieri Oggi Domani"", ""TEXT PLACEHOLDER 030""]",Time to choose something different:,That poor kid never stood a chance at being chaste with Sophia Loren across the way from him. I wonder if nuns have it any easier...,Enough pretty Italians. Show me some pre-meltdown Elon Musk bragging about how he's going to send people to Mars!,I have no doubt that Sophia Loren would fill out a bikini nicely...,137,88,114,"https://en.wikipedia.org/wiki/Yesterday,_Today_and_Tomorrow",https://www.imdb.com/title/tt0057171/,https://tvtropes.org/pmwiki/pmwiki.php/Film/YesterdayTodayAndTomorrow
31,The Maid (2009),Sebastian Silva,2009,115,"[""TITLE: The Maid (2009)"", ""TEXT PLACEHOLDER 031""]",Time to choose something different:,Sometimes getting away for a bit on holiday is all it takes to change your life!,"Barring that, you could just stay home and look at postcards...",Or become a cat burglar. Probably a more interesting career path than being a domestic servant!,114,212,54,https://en.wikipedia.org/wiki/The_Maid_(2009_film),https://www.imdb.com/title/tt1187044/,NONE
32,Rodin,Jacques Doillon,2017,119,"[""TITLE: Rodin"", ""TEXT PLACEHOLDER 032""]",Time to choose something different:,"Balzac was lucky to be around French-speaking people, considering that his name sounds like ball-sack in English. Speaking of which, got any French films that end on untranslatable puns?","I like all the artist model nudity, but what would be really cool is if someone read some feminist Marxist texts to accompany it!","Okay, the French had some pretty good sculptors, but how are they at engineering?",189,210,33,https://en.wikipedia.org/wiki/Rodin_(film),https://www.imdb.com/title/tt5771710/,NONE
33,Eiffel,Martin Bourboulon,2021,115,"[""TITLE: Eiffel"", ""TEXT PLACEHOLDER 033""]",Time to choose something different:,Towers next to rivers are fine. But lighthouses next to the ocean are even cooler!,"Sure, the French can build towers out of wrought iron. But can they build titties out of sand?",This movie makes civil engineers look pretty glamorous. Got anything that does the same for concierges? ,2,17,190,https://en.wikipedia.org/wiki/Eiffel_(film),https://www.imdb.com/title/tt10366514/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Eiffel
34,Joan of Arc,Bruno Dumont,2019,138,"[""TITLE: Joan of Arc"", ""TEXT PLACEHOLDER 034""]",Time to choose something different:,"Joan's army was tough, but could they take on an actual full-sized Spanish windmill?","Joan was a great warrior and leader, but could she properly bread a veal cutlet?",Just goes to show that sometimes good things happen if you put someone young and inexperienced in charge of things!,55,182,134,https://en.wikipedia.org/wiki/Joan_of_Arc_(2019_film),https://www.imdb.com/title/tt8669356/,NONE
35,Gainsbourg: A Heroic Life,Joann Sfar,2010,130,"[""TITLE: Gainsbourg: A Heroic Life"", ""TEXT PLACEHOLDER 035""]",Time to choose something different:,Gotta admit I'm a sucker for a film with a funny-looking protagonist.,But sometimes it's great when the very gay director just uses the prettiest dude he could find!,"Actually, I kinda feel like just putting a couple of Serge Gainsbourg albums on and listening to those for a few hours. Got any silent films I could watch while I do that?",183,146,135,https://en.wikipedia.org/wiki/Gainsbourg:_A_Heroic_Life,https://www.imdb.com/title/tt1329457/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Gainsbourg
36,Grizzly Man,Werner Herzog,2005,104,"[""TITLE: Grizzly Man"", ""TEXT PLACEHOLDER 036""]",Time to choose something different:,Some boys are into grizzly bears. And some will nearly burn their houses down building a Balzac shrine in their bedroom. Consider me the latter type!,"So, ladies, would you rather drink arsenic or get ripped to shreds by a bear? I'd probably go with the arsenic, myself.",At least a bear would be a nice distraction from awaiting scary medical test results...,148,239,143,https://en.wikipedia.org/wiki/Grizzly_Man,https://www.imdb.com/title/tt0427312/,https://tvtropes.org/pmwiki/pmwiki.php/Film/GrizzlyMan
37,Woyzeck,Werner Herzog,1979,82,"[""TITLE: Woyzeck"", ""TEXT PLACEHOLDER 037""]",Time to choose something different:,"Well, when the army sucks, maybe deserting is a better option. ","Downer ending, but he would have been facing capital punishment anyway.","That pondside murder-suicide would have made great fodder for a television tabloid show, especially if someone showed up to film it live!",211,98,242,https://en.wikipedia.org/wiki/Woyzeck_(1979_film),https://www.imdb.com/title/tt0080149/,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Woyzeck
38,A Trip to the Moon,Byron Haskin,1902,18,"[""TITLE: A Trip to the Moon"", ""TEXT PLACEHOLDER 038""]",Time to choose something different:,"I'm more of a homebody, myself, aside from occasionally running short errands. And I work from home... ",Why be a visitor to the moon when you can go to Africa and overthrow a king?,"Flying around in planes and rockets is nice, but don't neglect your wife!",182,57,194,https://en.wikipedia.org/wiki/A_Trip_to_the_Moon,https://www.imdb.com/title/tt0000417/,https://tvtropes.org/pmwiki/pmwiki.php/Film/ATripToTheMoon
39,Haxan,Benjamin Christensen,1922,105,"[""TITLE: Haxan"", ""TEXT PLACEHOLDER 039""]",Time to choose something different:,Bet those witches could put on a pretty bitchin' fireworks display if they started going stir crazy...,"I've heard witches kill babies, but Cossacks will do the same thing if given a chance.",I guess burning witches is fine if you don't have the option of tossing them in a volcano.,66,7,105,https://en.wikipedia.org/wiki/H%C3%A4xan,https://www.imdb.com/title/tt0013257/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Haxan
40,Superstar: The Karen Carpenter Story,Todd Haynes,1987,43,"[""TITLE: Superstar: The Karen Carpenter Story"", ""TEXT PLACEHOLDER 040""]",Time to choose something different:,A slender gal like Karen would have made an awesome cat burglar!,A little too skinny for sex work though.,Let's see something different. Barbie dolls are for babies...,54,151,47,https://en.wikipedia.org/wiki/Superstar:_The_Karen_Carpenter_Story,https://www.imdb.com/title/tt0094075/,NONE
41,Poison,Todd Haynes,1991,85,"[""TITLE: Poison"", ""TEXT PLACEHOLDER 041""]",Time to choose something different:,At least those prisoners had each other to keep themselves entertained. Solitary confinement can be pretty rough on a young man.,"The kid flying away reminded me of Peter Pan. Let's watch that next--or the closest thing to it that you have, I guess...","The pastoral scenes were nice, but those juvenile delinquents would be better suited for adventures in the wild if they had been doing boy scouting instead of committing crimes!",15,245,197,https://en.wikipedia.org/wiki/Poison_(1991_film),https://www.imdb.com/title/tt0102687/,NONE
42,Monsieur Hulot's Holiday,Jacques Tati,1963,114,"[""TITLE: Monsieur Hulot's Holiday"", ""TEXT PLACEHOLDER 042""]",Time to choose something different:,"Too lighthearted! Show me something with more misery, preferably in a rural setting--with some possible incest thrown in!","Well, everything around that poor guy that could go wrong did go wrong. That'd be a disaster if he were a film director!",Holidays are for the bourgeoisie! No time for that nonsense until after the Revolution comes!,220,240,153,https://en.wikipedia.org/wiki/Les_Vacances_de_Monsieur_Hulot,https://www.imdb.com/title/tt0046487/,https://tvtropes.org/pmwiki/pmwiki.php/Film/MrHulotsHoliday
43,Munchhausen,Josef von Báky,1943,130,"[""TITLE: Munchhausen"", ""TEXT PLACEHOLDER 043""]",Time to choose something different:,Lots of adventures to be had when traveling! Even a short getaway can be packed with action and (mis)adventures!,I'm a bigger fan of Munchhausen syndrome by proxy. Got anything with a baby in it?,"When you have to choose between the truth and the legend, choose the legend! ",42,47,221,https://en.wikipedia.org/wiki/M%C3%BCnchhausen_(1943_film),https://www.imdb.com/title/tt0036191/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Munchhausen
44,Lynch/Oz,Alexandre O. Philippe,2022,108,"[""TITLE: Lynch/Oz"", ""TEXT PLACEHOLDER 044""]",Time to choose something different:,I love films with a slash in the title! Show me more!,Oz is boring. Let's go bowling!,Let's follow the yellow brick road...and see if any cops tail us!,150,3,58,https://en.wikipedia.org/wiki/Lynch/Oz,https://www.imdb.com/title/tt15399286/,NONE
45,Titicut Follies,Frederick Wiseman,1967,84,"[""TITLE: Titicut Follies"", ""TEXT PLACEHOLDER 045""]",Time to choose something different:,"Wow, conditions in that place weren't much better than in a POW camp!","Despite the name, this didn't have any actual titties in it...",Pretty good talent show considering it was put on by nothing but inmates and staff. Some people can do great work when challenged by such limitations I guess...,69,205,10,https://en.wikipedia.org/wiki/Titicut_Follies,https://www.imdb.com/title/tt0062374/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TiticutFollies
46,The Bicycle Thief,Vittorio De Sica,1948,93,"[""TITLE: The Bicycle Thief"", ""TEXT PLACEHOLDER 046""]",Time to choose something different:,This film taught me that stealing bicycles is rad! Show me some more fun activities for juvenile delinquents!,"Antonio may have failed at being a provider for his wife and a role model for their son, but at least he's less disappointing than Frankenstein's monster!","Good thing they were in Italy and not Texas. There would have been no mercy, and some hangin' judge would have thrown the book at him...",5,52,98,https://en.wikipedia.org/wiki/Bicycle_Thieves,https://www.imdb.com/title/tt0040522/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BicycleThieves
47,The Baby,Ted Post,1973,89,"[""TITLE: The Baby"", ""TEXT PLACEHOLDER 047""]",Time to choose something different:,Any good social worker can tell you that's not a good environment for a baby. He'll be lucky if he doesn't grow up to end up on death row!,"Adult babies are pretty transgressive, but I'm really in the mood for developmentally disabled porn star rapists!","Isn't it a bit more normal for the person acting as babysitter to run off with the dad, not the kid?",98,242,195,https://en.wikipedia.org/wiki/The_Baby_(film),https://www.imdb.com/title/tt0069754/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBaby
48,The Steamroller and the Violin,Andrei Tarkovsky,1961,45,"[""TITLE: The Steamroller and the Violin"", ""TEXT PLACEHOLDER 048""]",Time to choose something different:,"Enough workers, let's see how the upper class live...",This would be more exciting with an alien invasion!,"Moscow's pretty, but it isn't as pretty as the mountains...",169,227,95,https://en.wikipedia.org/wiki/The_Steamroller_and_the_Violin,https://www.imdb.com/title/tt0053987/,NONE
49,Ivan's Childhood,Andrei Tarkovsky,1962,95,"[""TITLE: Ivan's Childhood"", ""TEXT PLACEHOLDER 049""]",Time to choose something different:,"Russians versus Nazis is fun, but what I'm really in the mood for is Rockers versus Mods.",Poor Ivan never got to see much of the world.,Very tragic! Good thing children are a renewable resource.,173,96,30,https://en.wikipedia.org/wiki/Ivan%27s_Childhood,https://www.imdb.com/title/tt0056111/,https://tvtropes.org/pmwiki/pmwiki.php/Film/IvansChildhood
50,Bad Taste,Peter Jackson,1987,91,"[""TITLE: Bad Taste"", ""TEXT PLACEHOLDER 050""]",Time to choose something different:,"More dust, less goo please!",And maybe some dancing chickens!,"Gross, but honestly I've seen much worse on social media lately!",21,59,72,https://en.wikipedia.org/wiki/Bad_Taste,https://www.imdb.com/title/tt0092610/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BadTaste
51,Blood for Dracula,Paul Morrissey,1974,106,"[""TITLE: Blood for Dracula"", ""TEXT PLACEHOLDER 051""]",Time to choose something different:,The only way this could be cheesier is if they broke the fourth wall...,"Dracula's groupies were pretty hot, but I wonder how they compare to women in thrall to the Ramones?",Udo Kier was probably a lot easier to work with when playing Dracula than Klaus Kinski was...,205,5,12,https://en.wikipedia.org/wiki/Blood_for_Dracula,https://www.imdb.com/title/tt0071233/,https://tvtropes.org/pmwiki/pmwiki.php/Film/BloodForDracula
52,Flesh for Frankenstein,Paul Morrissey,1973,95,"[""TITLE: Flesh for Frankenstein"", ""TEXT PLACEHOLDER 052""]",Time to choose something different:,Baron von Frankenstein had some pretty ambitious ideas. I love a man with a plan!,It's always a good idea to keep it in the family I guess...,"That Igor scene was pretty traumatic. If you got anything else like that to sit through, let's just get it out of the way now.",172,124,238,https://en.wikipedia.org/wiki/Flesh_for_Frankenstein,https://www.imdb.com/title/tt0071508/,https://tvtropes.org/pmwiki/pmwiki.php/Film/FleshForFrankenstein
53,Star Trek 2: The Wrath of Khan,Nicholas Meyer,1982,113,"[""TITLE: Star Trek 2: The Wrath of Khan"", ""TEXT PLACEHOLDER 053""]",Time to choose something different:,Not enough tribbles! Could we maybe get something with penguins in it instead?,Actually I want to see all the tribbles! Give me something completely wacky to watch...,I thought this was going to be the one with the whales! Can I at least have something with a shark in it next?,90,243,187,https://en.wikipedia.org/wiki/Star_Trek_II:_The_Wrath_of_Khan,https://www.imdb.com/title/tt0084726/,https://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrekIITheWrathOfKhan
54,A Cat In Paris,Jean-Loup Felicioli,2010,70,"[""TITLE: A Cat In Paris"", ""TEXT PLACEHOLDER 054""]",Time to choose something different:,The eternal dilemma: I can't decide if I'm more in the mood for Jean Cocteau now...,...or Adam Sandler!,Cats are great at always landing on their feet. Wonder how they'd be on skis?,146,208,81,https://en.wikipedia.org/wiki/A_Cat_in_Paris,https://www.imdb.com/title/tt1673702/,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/ACatInParis
55,The Man Who Killed Don Quixote,Terry Gilliam,2018,133,"[""TITLE: The Man Who Killed Don Quixote"", ""TEXT PLACEHOLDER 055""]",Time to choose something different:,Enough of Spain. Let's check in on Kenya and Tanzania!,"Cervantes is cool, but I'm a bigger fan of Lewis Carroll. Let's go down the rabbit hole...and maybe to a haunted house!","Okay, here's a niche request. Got any movies where I can watch two guys move a bunch of rocks around?",91,177,236,https://en.wikipedia.org/wiki/The_Man_Who_Killed_Don_Quixote,https://www.imdb.com/title/tt1318517/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheManWhoKilledDonQuixote
56,Delicatessen,Jean-Pierre Jeunet and Marc Caro,1991,99,"[""TITLE: Delicatessen"", ""TEXT PLACEHOLDER 056""]",Time to choose something different:,That meat looked really unappetizing. I'd mutiny if someone tried to feed me that stuff...,Cannibalism is but a mirage.,I'm ready for something a bit more Shakespearean!,7,21,204,https://en.wikipedia.org/wiki/Delicatessen_(1991_film),https://www.imdb.com/title/tt0101700/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Delicatessen
57,Cobra Verde,Werner Herzog,1987,111,"[""TITLE: Cobra Verde"", ""TEXT PLACEHOLDER 057""]",Time to choose something different:,I wonder what Klaus Kinski was like as a baby...,"I want an army of Amazons to stage theater productions with, but I'd settle for an army of asylum inmates instead.","An army of Amazons would be great, but an army of sassy flying monkeys would be even better!",47,45,123,https://en.wikipedia.org/wiki/Cobra_Verde,https://www.imdb.com/title/tt0094888/,https://tvtropes.org/pmwiki/pmwiki.php/Film/CobraVerde
58,Un Flic,Jean-Pierre Melville,1972,98,"[""TITLE: Un Flic"", ""TEXT PLACEHOLDER 058""]",Time to choose something different:,That cop could have been worse I guess...,"Less cops, more robots!","Less heists, more cannibalism!",126,135,56,https://en.wikipedia.org/wiki/Un_flic,https://www.imdb.com/title/tt0067900/,https://tvtropes.org/pmwiki/pmwiki.php/Film/UnFlic
59,Stroszek,Werner Herzog,1977,107,"[""TITLE: Stroszek"", ""TEXT PLACEHOLDER 059""]",Time to choose something different:,"Not sure if Stroszek or his friends had any cheerleader background, but a performing chicken could make a pretty good mascot!",Maybe Bruno would have fared better in the Foreign Legion.,Why rob a grocery store when you can get a good honest job in a slaughterhouse?,203,171,133,https://en.wikipedia.org/wiki/Stroszek,https://www.imdb.com/title/tt0075276/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Stroszek
60,The Rabbi's Cat,Joann Sfar,2011,100,"[""TITLE: The Rabbi's Cat"", ""TEXT PLACEHOLDER 060""]",Time to choose something different:,A talking cat beats a precocious genius child any time...you never age out of being a talking cat!,Too much Judaism! Give me something WASPier.,Let's check in on a butcher shop--preferably kosher or halal...,184,142,133,https://en.wikipedia.org/wiki/The_Rabbi%27s_Cat_(film),https://www.imdb.com/title/tt1355638/,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheRabbisCat
61,Heart of Glass,Werner Herzog,1976,94,"[""TITLE: Heart of Glass"", ""TEXT PLACEHOLDER 061""]",Time to choose something different:,"""I loved it!""","""It was great!""","""I'm going to see it again and again!""",101,109,15,https://en.wikipedia.org/wiki/Heart_of_Glass_(film),https://www.imdb.com/title/tt0074626/,https://tvtropes.org/pmwiki/pmwiki.php/Film/HeartOfGlass
62,Early Short Films of the French New Wave (19),various,various,various,"[""TITLE: Early Short Films of the French New Wave (19)"", ""TEXT PLACEHOLDER 062""]",Time to choose something different:,"Those were great, but I think I need something different. How about a live-action cartoon?",Or maybe a musical interlude?,"More short films by oddball directors, please!",243,163,18,NONE,https://www.imdb.com/list/ls057884391/,NONE
63,Lessons of Darkness,Werner Herzog,1992,54,"[""TITLE: Lessons of Darkness"", ""TEXT PLACEHOLDER 063""]",Time to choose something different:,Well that was bleak. I'd love to shut my brain off and just watch some exploding cannibal aliens for awhile.,"I don't mind a little darkness, but let's make it noir-flavored this time!",Got anything with Nicole Kidman in it? Preferably doing some imperialism?,50,58,84,https://en.wikipedia.org/wiki/Lessons_of_Darkness,https://www.imdb.com/title/tt0104706/,NONE
64,"My Son, My Son, What Have Ye Done",Werner Herzog,2009,91,"[""TITLE: My Son, My Son, What Have Ye Done"", ""TEXT PLACEHOLDER 064""]",Time to choose something different:,"Maybe Greek tragedies are a bit much for young people to watch in their formative years. At most they should be watching spicy episodes of ""I Love Lucy""...",Forget the pizza. He should have asked for a plane.,That kid got a bit too much into Greek tragedy. But at least he wasn't some goddamn weeaboo!,19,67,226,"https://en.wikipedia.org/wiki/My_Son,_My_Son,_What_Have_Ye_Done",https://www.imdb.com/title/tt1233219/,NONE
65,The Wild Blue Yonder,Werner Herzog,2005,81,"[""TITLE: The Wild Blue Yonder"", ""TEXT PLACEHOLDER 065""]",Time to choose something different:,"Less aliens, more nuns!",I can think of another man who came down from the Heavens to deliver a message to the people of this world...,That diving stuff was pretty cool. Makes me wonder how well dogs are able to swim...,176,94,121,https://en.wikipedia.org/wiki/The_Wild_Blue_Yonder_(2005_film),https://www.imdb.com/title/tt0443693/,NONE
66,Signs of Life,Werner Herzog,1968,95,"[""TITLE: Signs of Life"", ""TEXT PLACEHOLDER 066""]",Time to choose something different:,Are we sure that poor guy didn't have any brain worms causing him to act like that?,These guys would have found more exciting ways to stay entertained in the hood. Just sayin'.,"If you're prone to being stir crazy, stay away from military deployments and nunneries!",9,128,145,https://en.wikipedia.org/wiki/Signs_of_Life_(1968_film),https://www.imdb.com/title/tt0063218/,NONE
67,Where the Green Ants Dream,Werner Herzog,1984,100,"[""TITLE: Where the Green Ants Dream"", ""TEXT PLACEHOLDER 067""]",Time to choose something different:,I heard a rumor that there's some version of King Lear directed by Godard. That sounds badass!,Do green ants dream of electric sheep?,Aussie accents are too hard to understand. Could I get some fake-Boston accents instead?,204,133,2,https://en.wikipedia.org/wiki/Where_the_Green_Ants_Dream,https://www.imdb.com/title/tt0088412/,NONE
68,Little Dieter Needs to Fly,Werner Herzog,1997,80,"[""TITLE: Little Dieter Needs to Fly"", ""TEXT PLACEHOLDER 068""]",Time to choose something different:,I hate seeing people locked up unjustly...,"Whether it's a prison camp or a boy scout camp, sometimes you just need to get away...",Wouldn't it have been safer to tunnel out of the camp?,109,197,77,https://en.wikipedia.org/wiki/Little_Dieter_Needs_to_Fly,https://www.imdb.com/title/tt0145046/,NONE
69,Rescue Dawn,Werner Herzog,2006,120,"[""TITLE: Rescue Dawn"", ""TEXT PLACEHOLDER 069""]",Time to choose something different:,I'm glad Dieter got out. I only hope someone can rescue southeast Asia from imperialism!,Too many Herzog movies lately. I'm ready for some Martin Scorsese!,The jungle looks scary but at least there aren't any bears!,210,192,36,https://en.wikipedia.org/wiki/Rescue_Dawn,https://www.imdb.com/title/tt0462504/,NONE
70,Kinetta,Yorgos Lanthimos,2005,95,"[""TITLE: Kinetta"", ""TEXT PLACEHOLDER 070""]",Time to choose something different:,"Looking in on those weirdos was upsetting. Makes me want to take a nice relaxing bath, maybe with one of my scuba toys!",Dracula's more sordid killings would be interesting to re-enact!,"I was going to suggest The Thin Blue Line after this, but it's not currently available in my region. Let's watch some Nazi-era fantasy instead!",247,51,43,https://en.wikipedia.org/wiki/Kinetta_(film),https://www.imdb.com/title/tt0477991/,NONE
71,Alps,Yorgos Lanthimos,2011,93,"[""TITLE: Alps"", ""TEXT PLACEHOLDER 071""]",Time to choose something different:,This plotline wasn't exactly written by Balzac. Just sayin'.,"Amateur actors doing micro-theater imitating people's dead loved ones sounds like a guaranteed sure-fire way to lose money, but you never know... ",I can't tell if those actors were part of a business or part of a cult...,32,8,39,https://en.wikipedia.org/wiki/Alps_(film),https://www.imdb.com/title/tt1859446/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Alps
72,We Are All Going to the World's Fair,Jane Schoenbrun,2021,86,"[""TITLE: We Are All Going to the World's Fair"", ""TEXT PLACEHOLDER 072""]",Time to choose something different:,I bet some kinky boots would have gotten that girl some more social media followers...,...as long as she didn't go and say something stupid and anti-semitic!,"I love the suspense combined with an anti-climax. Could I get something suspenseful and a little more traditional Hitchcockian, please?",74,167,201,https://en.wikipedia.org/wiki/We%27re_All_Going_to_the_World%27s_Fair,https://www.imdb.com/title/tt13648224/,https://tvtropes.org/pmwiki/pmwiki.php/Film/WereAllGoingToTheWorldsFair
73,The Babadook,Jennifer Kent,2014,94,"[""TITLE: The Babadook"", ""TEXT PLACEHOLDER 073""]",Time to choose something different:,"I read that Babadook book too, but he never pestered me. Maybe he got stuck in traffic...",Some buddhists believe that everyone is reincarnated as a Babadook eventually!,"Single parenting looks rough, so it's probably good to have a spare dude around in case things go bad with the first one!",206,87,149,https://en.wikipedia.org/wiki/The_Babadook,https://www.imdb.com/title/tt2321549/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBabadook
74,Kinky Boots,Julian Jarrold,2005,107,"[""TITLE: Kinky Boots"", ""TEXT PLACEHOLDER 074""]",Time to choose something different:,The right footwear can attract a young woman a better class of suitor...,You know what pairs well with red boots? A red beret!,"If that shoe factory does well enough, they should expand operations...to the moon!",216,186,38,https://en.wikipedia.org/wiki/Kinky_Boots_(film),https://www.imdb.com/title/tt0434124/,https://tvtropes.org/pmwiki/pmwiki.php/Film/KinkyBoots
75,Titane,Julia Ducournau,2021,108,"[""TITLE: Titane"", ""TEXT PLACEHOLDER 075""]",Time to choose something different:,Everyone needs a good father figure...and you can do worse than a firefighter!,Even carfuckers shouldn’t be sent off to Iraq!,I heard there was a lot of gender-bending in ancient Greek theater.,46,63,64,https://en.wikipedia.org/wiki/Titane,https://www.imdb.com/title/tt10944760/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Titane
76,Crimes of the Future,David Cronenberg,2022,107,"[""TITLE: Crimes of the Future"", ""TEXT PLACEHOLDER 076""]",Time to choose something different:,I wonder how much those cool chairs would go for at auction...,I've hard that high fructose corn syrup does wonders for digestion!,Cronenberg movies always put me in the mood for uncomfortable sex combined with viruses and parasites. Got anything to indulge me?,92,112,200,https://en.wikipedia.org/wiki/Crimes_of_the_Future_(2022_film),https://www.imdb.com/title/tt14549466/,https://tvtropes.org/pmwiki/pmwiki.php/Film/CrimesOfTheFuture2022
77,Paint Your Wagon,Joshua Logan,1969,164,"[""TITLE: Paint Your Wagon"", ""TEXT PLACEHOLDER 077""]",Time to choose something different:,"Polyandry, drunken debauchery, Lee Marvin and Clint Eastwood singing? I need an alien to make sense of this stuff...",So do Lee Marvin and Clint Eastwood do ballet as well?,"When I saw Lee Marvin was in this, I was expecting a little more...war movie action? Could we get something more like that?",65,136,69,https://en.wikipedia.org/wiki/Paint_Your_Wagon_(film),https://www.imdb.com/title/tt0064782/,https://tvtropes.org/pmwiki/pmwiki.php/Film/PaintYourWagon
78,Jacques Brel Is Alive and Well and Living in Paris,Denis Héroux,1975,98,"[""TITLE: Jacques Brel Is Alive and Well and Living in Paris"", ""TEXT PLACEHOLDER 078""]",Time to choose something different:,This wasn't even close to being a Dogme 95 film!,"Less singing, more dancing please!",Lots of drunken sailors in Jacques Brel's best songs...,10,136,17,https://en.wikipedia.org/wiki/Jacques_Brel_is_Alive_and_Well_and_Living_in_Paris,https://www.imdb.com/title/tt0121411/,NONE
79,Betty Boop Confidential,various,various,various,"[""TITLE: Betty Boop Confidential"", ""TEXT PLACEHOLDER 079""]",Time to choose something different:,Animated flappers are so outdated. I want to see some old people humping trash cans!,Short hair is a pretty good look on women though. Especially when they go full tomboy!,I wonder if Betty Boop had a difficult childhood...,198,34,148,NONE,https://www.imdb.com/title/tt0326760/,NONE
80,God's Angry Man,Werner Herzog,1981,48,"[""TITLE: God's Angry Man"", ""TEXT PLACEHOLDER 080""]",Time to choose something different:,God wouldn't like communists and intellectuals!,Did Jacques Brel have any songs about televangelists?,I have a soft spot for deranged old men!,181,78,55,https://en.wikipedia.org/wiki/God%27s_Angry_Man,https://www.imdb.com/title/tt0080796/,NONE
81,The Great Ecstasy of the Woodcarver Steiner,Werner Herzog,1974,45,"[""TITLE: The Great Ecstasy of the Woodcarver Steiner"", ""TEXT PLACEHOLDER 081""]",Time to choose something different:,Are there any conspiracy theories about ski jumpers?,I hate winter sports. I'd rather find a way to have adventures in front of my computer screen!,Even bowling is more exciting than skiing!,181,72,3,https://en.wikipedia.org/wiki/The_Great_Ecstasy_of_Woodcarver_Steiner,https://www.imdb.com/title/tt0070136/,NONE
82,Invincible,Werner Herzog,2001,135,"[""TITLE: Invincible"", ""TEXT PLACEHOLDER 082""]",Time to choose something different:,You don't have to be strong to swindle war widows out of their pensions!,I love feats of strength. Got anything with arm-wrestling in it?,So what happens if you don't have a brawny older brother to stop people from bullying you?,199,74,129,https://en.wikipedia.org/wiki/Invincible_(2001_theatrical_film),https://www.imdb.com/title/tt0245171/,NONE
83,Herdsmen of the Sun,Werner Herzog,1989,52,"[""TITLE: Herdsmen of the Sun"", ""TEXT PLACEHOLDER 083""]",Time to choose something different:,I heard that the tie-breaker for this competition is a dance-off!,Being a hit with the ladies can be fun AND profitable!,"Having a great smile is one thing, but what women really love is a fast car!",136,199,23,https://en.wikipedia.org/wiki/Herdsmen_of_the_Sun,https://www.imdb.com/title/tt0098669/,NONE
84,Queen of the Desert,Werner Herzog,2015,128,"[""TITLE: Queen of the Desert"", ""TEXT PLACEHOLDER 084""]",Time to choose something different:,"Trekking through the desert is great, but haunted houses are more my speed.",I bet Count Dracula would have given her a royal welcome!,All this imperialism just makes me want to put my fist through a Union Jack.,177,16,210,https://en.wikipedia.org/wiki/Queen_of_the_Desert_(film),https://www.imdb.com/title/tt1837636/,NONE
